Sample,Site,Treatment Group,Data Type,Treatment ,neoxanthin,violaxanthin,antheraxanthin,lutein,zeaxanthin,chlorophyll b,beta-carotene.sum,beta-tocopherol,alpha-tocopherol,V+A+Z,A+Z/V+A+Z,total carotenoids,total tocopherols
4C-3,4,C,sample,Site Reference,110.361443,19.1677737,41.41315328,530.137827,172.9805025,342.8698296,341.1329633,4.590270277,26.12985278,233.5614295,0.917932624,1215.193663,30.72012306
4C-mean,4,C,mean,Site Reference,99.91137911,16.74702646,32.5617802,494.3370896,154.4119207,246.9586254,360.3629746,4.117350294,23.22667643,203.7207273,0.917776746,1158.332171,27.34402672
4C-dev,4,C,dev,Site Reference,11.49302069,2.470675782,6.858466308,26.08077397,13.95108424,94.20723902,111.4108082,0.772089663,5.475518577,21.10095991,0.009493686,115.4087801,6.24623817
5A,5,A,sample,UV Filtered,108.7088605,24.85878512,38.66533364,610.0554325,234.3650914,295.7931813,262.0111852,8.60840064,18.43016295,297.8892102,0.916550233,1278.664688,27.03856359
5A-2,5,A,sample,UV Filtered,90.24433547,16.84105991,38.31614549,513.6627865,183.9161459,258.3584844,279.8708427,5.017648371,12.41212537,239.0733513,0.929556934,1122.851316,17.42977374
5A-3,5,A,sample,UV Filtered,92.6836239,18.25261373,36.24706419,462.2919783,147.0123985,285.2301298,165.4639406,3.879272275,10.60735584,201.5120764,0.909421738,921.9516192,14.48662811
5A-mean,5,A,mean,UV Filtered,97.21227328,19.98415292,37.74284777,528.6700657,188.431212,279.7939318,235.7819895,5.835107095,13.81654805,246.1582126,0.918509635,1107.822541,19.65165515
5A-dev,5,A,dev,UV Filtered,8.190082212,3.49472463,1.067242394,61.25043358,35.80421394,15.75866577,50.25410658,2.015331709,3.344486018,39.66345439,0.008336105,146.0147287,5.359747432
5B,5,B,sample,UV Transmitted,111.6553238,23.11740223,40.08032915,556.7285834,161.6223329,354.6752499,297.7992658,3.842930708,14.0588836,224.8200643,0.897173758,1191.003237,17.9018143
5B-2,5,B,sample,UV Transmitted,105.9671258,21.11605297,38.18431762,483.4826854,132.9765765,344.8456063,244.658972,3.785690886,16.52898901,192.2769471,0.890178967,1026.38573,20.3146799
5B-3,5,B,sample,UV Transmitted,94.15835952,18.45911038,34.17471029,414.5912665,126.5933423,293.6411585,215.7670313,3.196897499,12.18152366,179.227163,0.897007183,903.7438203,15.37842116
5B-mean,5,B,mean,UV Transmitted,103.9269364,20.89752186,37.47978569,484.9341784,140.3974173,331.0540049,252.7417563,3.608506364,14.25646542,198.7747248,0.894786636,1040.377596,17.86497179
5B-dev,5,B,dev,UV Transmitted,7.287327802,1.908007274,2.461890528,58.03639282,15.23284179,26.75750713,33.97371955,0.291988005,1.780335679,19.17192389,0.003258824,117.6897685,2.015387577
5C,5,C,sample,Site Reference,121.463531,18.12170443,48.2882382,708.0130173,244.8587421,279.3693864,603.3566553,9.686383755,33.09408709,311.2686847,0.941781151,1744.101888,42.78047085
5C-2,5,C,sample,Site Reference,97.77441395,15.63421892,35.37354589,518.8869407,187.2371156,241.6052971,323.19181,5.187568066,17.58666686,238.2448804,0.934377524,1178.098045,22.77423492
5C-3,5,C,sample,Site Reference,90.32149229,14.19913,33.64813774,493.2286855,169.699827,265.1090375,327.8841651,4.582960543,18.90336537,217.5470947,0.934730776,1128.981438,23.48632591
5C-mean,5,C,mean,Site Reference,103.1864791,15.98501778,39.10330728,573.3762145,200.5985616,262.027907,418.1442101,6.485637455,23.19470644,255.6868866,0.936963151,1350.39379,29.68034389
5C-dev,5,C,dev,Site Reference,13.27716033,1.620481911,6.53281335,95.77713024,32.10515855,15.5703058,130.9789854,2.276689149,7.020528315,40.20034655,0.003409892,279.1148629,9.267749207
6A,6,A,sample,UV Filtered,100.7207108,51.84445067,51.24582383,481.5444747,190.68292,285.521812,200.9158155,6.408347309,16.17165023,293.7731945,0.823522188,1076.954196,22.57999754
6A-2,6,A,sample,UV Filtered,83.08379723,22.14881435,28.82296778,428.5203569,153.657152,283.6552582,189.8131449,4.058239202,14.09958485,204.6289341,0.891761082,906.0462331,18.15782406
6A-3,6,A,sample,UV Filtered,104.4189466,22.89942323,35.32907173,481.8226252,190.4310999,299.1006214,242.6190044,6.842294117,20.66532535,248.6595949,0.907908548,1077.520171,27.50761947
6A-mean,6,A,mean,UV Filtered,96.07448488,32.29756275,38.46595444,463.9624856,178.2570573,289.4258972,211.1159883,5.769626876,16.97885348,249.0205745,0.874397273,1020.173533,22.74848035
6A-dev,6,A,dev,UV Filtered,9.309053343,13.82513349,9.418992984,25.0616268,17.39506365,6.883372339,22.73246347,1.223032648,2.740549809,36.39388701,0.036573131,80.7005186,3.818896735
6B,6,B,sample,UV Transmitted,147.6504168,43.31439089,87.04745398,594.5122884,209.9152459,381.8498947,288.6686761,7.991647553,22.083,340.2770907,0.872708472,1371.108472,30.07464756
